PLOT3
Utilization, EDF, RM, DM
0.050000,5000 ,5000 ,5000 
0.150000,4999 ,5000 ,5000 
0.250000,4994 ,5000 ,5000 
0.350000,4955 ,5000 ,5000 
0.450000,4877 ,5000 ,5000 
0.550000,4738 ,5000 ,5000 
0.650000,4573 ,5000 ,5000 
0.750000,4406 ,4951 ,4963 
0.850000,4091 ,4275 ,4303 
0.950000,3147 ,1009 ,1013 
